ID,News_Title,News_Text,Label
179,Governors of Virginia and Maryland praise Pakistan Festival USA as biggest South Asia event,Pakistan Festival USA will hold its 32nd celebrations on September 2 to mark 71st anniversary of Pakistans Independence It will be attended by government officials foreign diplomats and a large number of Pakistani Americans from New York Maryland and Virginia,Real
180,Pakistan Iran ties in year 2018 witnessed great tides especially in defence field,Former National Security Advisor of Pakistan Nasser Khan Janjua visited Iran and met with Iranian leaders to enhance security and defense cooperation He also met with former president of Pakistan Asif Ali Zardari exgovernor of Pakistans southern Sindh province Muhammad Zubair,Real
181,PM Imran Khans writes an unprecedented letter to all Governors CMs and Federal Ministers in Pakistan,Imran Khan said the ruling elite could not afford the ostentatious life style which it was maintaining in the past Pakistans total debt has soared to Rs 30 trillion and the country was paying Rs 6 billion as daily interest payment,Real
182,Pakistan participates in the Nowruz festival celebrated at UNESCO headquarters in Paris,Pakistan was represented by Ambassador of Pakistan to France and Pakistans Permanent Delegate to UNESCO Moin ul Haque The festival of Nowruz was inscribed on the UNESCO List of the Intangible Cultural Heritage of Humanity in 2016,Real
183,Jashn e Baharan festival held in Quetta,The oneday festival also exhibited cultural stalls in coordination with the theme of spring The stalls are representing the various colours of Baloch culture featuring local handicrafts and jewellery,Real
184,PTI government to open 1000 cinemas across the country,PTI government is planning to increase the number of cinema houses from 127 to 1000 across Pakistan Information Minister Fawad Chaudhry met with US Chargï¿½ d Affaires Paul Jones on Tuesday The two agreed to boost cultural cooperation revival of Pakistani films,Real
185,PM Imran Khan hints at close strategic ties with Russia,Russian Ambassador to Pakistan Alexey Dedov carried a special message from President Putin to newlyelected Prime Minister Imran Khan Khan also expressed his keen interest in enhancing ties with Russia Both nations are focused on regional peace and have a similar diplomatic stance on important issues,Real
186,Kashmir Solidarity Day to be observed on Feb 5,Kashmir Solidarity Day will be observed across the world including Pakistan on Feburary 5 The day is being observed to give to the world a loud and clear message that the hearts of Pakistanis and Kashmiris throb in unison,Real
187,Zubair inaugurates Research Chair at Greenwich University Karachi,Sindh Governor Muhammad Zubair inaugurated Research Chair at Greenwich University in Karachi Zubair said national objectives can only be achieved through providing much needed resources and congenial atmosphere to the students,Real
188,Ranjeet Singh becomes first Pakistani MPA from Sikh community,Ranjeet Singh becomes the first MPA from the Sikh community in Khyber Pakhtunkhwa He has been elected on the ticket of the Jamiat UlemaeIslamFazl JUIF and Muttahida MajlisEAmal MMA,Real
189,Foreign countries to participate in Cholistan Desert Jeep Rally,PMLN leader Saud Majeed said the arrangements for Cholistan Desert Jeep Rally had been completed He said that Pakistani women drivers will also take part in the rally,Real
190,Pakistan face serious maritime security challenges,Pakistan is among the leading littoral state of the Indian Ocean It shares a 990km long coastline located at the heart of the Arabian The safety of sealanes is crucial for its economic prosperity and sovereign defense,Real
191,Russia honours top Pakistani economist Dr Shahid Hasan,Russian Foreign Minister Sergey Lavrov conferred the award on Dr Hassan on behalf of his government The award was presented at a ceremony hosted by the Association of Pakistani Graduates from Russia & CIS,Real
192,PM Imran Khan decides to make KP a hub of tourism industry in Pakistan,Before PTI Govt in KP tourism was kept on 30th position in priority list in public sectors departments and corporations Now it has attained 8th position thus showing PTIs priority for this key sector,Real
193,Pakistan ranked among World top adventure tourism destination for 2019,Explore the valleys of Hunza Shigar and Khaplu via the renowned Karakoram Highway Add to this the warm welcome of the people the glacial blue of Attabad lake the centuries of history the juxtaposition of granite to greenery,Real
194,Imran Khan inaugurates university at PM House,The institute will be housed in the premises of the PM House and other institutes and departments of the university will be added over time Education Minister Shafqat Mehmood said the purpose of establishing a university is to signal the need for education and human development if Pakistan is to develop and progress as a nation,Real
195,Supporting higher education sector to succeed in the job market ,The Govt is committed to supporting higher education sector so that the Pakistani youth can succeed in the job market and play their role in countrys socioeconomic uplift and become valued members of the society stated Shafqat Mahmood,Real
196,PM Imran vows to transform lives of differentlyabled persons,On International Day of Persons with Disabilities I want to reiterate our govts commitment to transforming the lives of those with disabilities by offering them equal opportunities in education & employment,Real
197,Activating an institution Minister calls for appointing VC of NSU,Federal Education Minister Shafqat Mahmood visited the National Skill University NSU and the National Curriculum Council NCC The NCC consists of three members from each province and area representing their respective education departments curriculum bureaus and textbook boards,Real
198,Education policy UK offers support to tackle outofschool children issue,British High Commissioner Thomas Drew led a highpowered delegation to meet with the Federal Education Minister Shafqat Mahmood in the federal capital on Tuesday Mahmood said the new government was facing a host of challenges in the education sector He added that a special programme for street children will also be introduced,Real
199,PPP candidate Chaudhry Zaheer joins PTI,Pakistan TehreekeInsaf PTI has taken another wicket of Pakistan Peoples Party PPP Chaudhry Zaheer announced joining the party and supporting its candidates in the NA124 constituency,Real
200,PTI highlights billion of rupees in corruption,Pakistan TehreekeInsaf PTI has highlighted corruption of over Rs75 billion in the RawalpindiIslamabad Metro Bus project and medicine procurement for public hospitals,Real
201,Asad Qaiser PTI nominee for National Assembly speakers slot,The Pakistan TehreekeInsaf PTI officially announced its nominees for important slots at the centre and Punjab The party nominated Senator Chaudhry Muhammad Sarwar and MNAelect Asad Qaiser as the partys nominees for the positions of Punjab governor and National Assembly speaker,Real
202,PTI leads in Punjab city goes to PMLN,Punjab continues to be a major battleground for Pakistan Muslim League Nawaz PMLN and Pakistan TehreekeInsaf PTI with the former leading polls for national assembly seats from the province,Real
203,Imran wants Raja Zafarul Haqs report made public,Pakistan TehreekeInsaf PTI Chairman Imran Khan demanded of the interim government to make public the report of Raja Zafarul Haq committee mandated to probe into the amendments in the constitutional clause pertaining to the Finality of the Holy Prophet PBUH,Real
204,Mashhood suspended as PMLN member,The Pakistan Muslim LeagueNawaz has suspended the membership of former Punjab minister Rana Mashhood,Real
205,President Mamnoon confers military awards on Independence Day,President Mamnoon Hussain granted military awards to officers and soldiers of the countrys armed forces Two SitaraBasalat 59 Tamghae Basalat and 34 Imtiazi Asnad were conferred,Real
206,Shehbaz ends Lahore rally urges supporters to vote for Nawaz,PMLN President Shehbaz Sharif made the remarks while addressing party workers here on late Friday night He said it is your responsibility to vote for Pakistan Muslim LeagueNawaz PMLN candidates on July 25,Real
207,Capitan Safdar owns 3100 Kanal agricultural land,Nawaz Sharifs soninlaw Captain Safdar owns 3100 Kanal of irrigation land Safdar received 1500 Saudi Riyals monthly scholarships from Sharif family He owns total assets worth of Rs4 crore 14 million,Real
208,Maryam owns 1506 kanals of agricultural land has millions invested in companies,Maryam has declared that her agricultural land holdings have increased in each of the last three years She earned an income of Rs11587268 and paid Rs1703590 as agricultural tax Her payment to the taxman for the next year dropped down to Rs41961,Real
209,PM Imran Khan Sindh Governor Imran Ismail discuss political situation,PMLQ President Chaudhry Shujaat Hussain called on Prime Minister Imran Khan in Islamabad They exchanged views on prevailing political situation in the country Matters relating to Sindh province came under discussion during the meeting,Real
210,If you dont deliver you will have to go home Zardari warns Imran Khan,Former president Asif Ali Zardari says Imran Khans government will not last long He says the premier took only Uturns saying neither Napoleon Bonaparte nor Hitler were heroes,Real
211,Have already submitted passport no need to go abroad Asif Zardari,PPP cochairman Asif Zardari has said that there is no need to go abroad as he has already submitted the passport He said that his language is soft but speak Urdu while addressing dumb and deaf people sitting in Islamabad,Real
212,Deaf dumb & blind people sitting in Islamabad says Asif Zardari,PPP cochairman Asif Ali Zardari has said that deaf dumb and blind people are sitting in Islamabad He said that there is nothing to worry as no one can intimidate or make them bow,Real
213,Asif Zardari Bilawal Faryal & Malik Riaz among 172 bigwigs placed on ECL,The government has released a list of the 172 bigwigs included in the JIT report of the fake accounts who have been placed on the exit control list The names of all these people have been sent to airports,Real
214,ECP accepts plea seeking Zardaris disqualification for preliminary hearing,Pakistan TehreekeInsaf PTI had submitted an application to the Sindh Election Commission,Real
215,PMs special assistant wants to seize assets of Nawaz Zardari,Naeemul Haq strongly criticized Pakistan Muslim LeagueN PMLN and the Pakistan Peoples Party PPP leaders He said the former rulers misused their authority and they secured their personal interests Haq also said that the previous rulers looted the money of country with cruelty,Real
216,Ali Zaidi shares documents of Asif Zardaris property in US on social media,The documents of 524 East 72nd St Apt 37F have been shared on Twitter The tax receipts carry the name of Asif Zardari,Real
217,Cant be intimidated by fake documents says Asif Zardari,PPP cochairman Asif Zardari has said he cannot be intimidated by fake documents Bilawal Bhutto said that a conspiracy is being hatched to push the country towards One Unit The PPP has postponed the decision on launching the protest movement until December 26,Real
218,Fake account case Interim bail of Zardari Faryal extended till Jan 7,Former president Asif Ali Zardari and his sister Faryal Talpur appeared before banking court on Friday The judge granted an extension in the PPP leaders bail until Jan 7 It is the fourth time they have been granted extension in their bail,Real
219,PPP prepares strategy on Zardaris court appearance possible arrest,The Pakistan Peoples Party PPP has prepared its strategy ahead of Asif Ali Zardaris appearnce in the banking court and his possible arrest in the fake bank account case on Friday ,Real
220,PTI submits plea for disqualification of Asif Zardari to Sindh ECP,The Pakistan TehreekeInsaf PTI submitted an application to the Sindh Election Commission on Thursday It stated that Asif Zardari had not mentioned his flat in the US in his assets The application was earlier addressed to the Election Commissioner,Real
221,PPP to launch countrywide protest movement in case of Zardaris arrest,Pakistan Peoples Party has decided to formulate the party strategy in case of the arrest of former President and cochairman of PPP Parliamentarians Asif Ali Zardari,Real
222,Zardari owns flat in New York Fawad,Information Minister Fawad Chaudhry said on Wednesday that Asif Ali Zardari has become ineligible to remain member of the Parliament under Article 62 and 63 of the Constitution He said that an apartment of Asif Zardar has been disclosed in Manhattan New York which he had not declared in his assets,Real
223,Shehbaz Zardari meet in NA session held a brief talk with happy gossip,Shehbaz Sharif confronted former president Asif Ali Zardari in National Assembly session Both the leaders inquired about health and brief talk during the short meeting PPP lawmaker Khursheed Shah also held a meeting with the opposition leader in NA session,Real
224,Powers that installed PTI govt fed up of its naivety Zardari,Asif Ali Zardari has vowed to get rid of the Pakistan TehreekeInsaf PTI government The former president predicted that PPP would emerge victorious across the country in the next general elections,Real
225,Govt will not be harassed from Zardaris blackmailing Chohan,The tenure of Asif Ali Zardari is most dark part of Pakistans political history he says,Real
226,Individuals with threeyear tenure cant decide nations future says Asif Ali Zardari,Only parliament has this right and no one else he asserted without naming anyone though the tenure mentioned by him confirms he actually meant the Chief of Army Staff who serve for the same period,Real
227,Bilawal Asif Zardari didnt appear before NAB,The PPPs legal team appeared before a threemember team of the antigraft watchdog Farooq H Naik said the PPP chairman and party cochairman have no direct link with the matters of Park Lane Company,Real
228,PTI govt neither has political thinking nor understanding Asif Ali Zardari,Asif Zardari said that 18th amendments clauses are weak and the government wants to dissolve the amendment in the wake of these weak clauses,Real
229,Never allow anyone to snatch right of Sindh warns Zardari,Asif Ali Zardari said the Pakistani government can only be run with the real representatives The former president said the incumbent rulers are being helped by different sides but the PPP government did not get assist from any side He asked to quit the snatching rights of Sindh Assembly,Real
230,Zardari involved in robbery land occupation FayyazulHassan Chohan,Punjab government spokesman FayyazulHassan Chohan said that Asif Ali Zardari is involved in corruption robbery and land occupation He blamed that PPP used its influence to reinstate suspended officers with plea bargain and gained 350 votes in Balochistan KP and Punjab,Real
231,Govt incompetent to run country says Zardari,Mr Zardari said in a vague term while speaking at a brief news conference He said political forces will have to be united and pass a resolution,Real
232,Govt didnt give relief everything has gone expensive Asif Zardari,PPP cochairman Asif Zardari says he thinks the government should not go to the IMF He says the government has not given the relief to the masses and everything has gone costly He said that no bureaucrat is ready to work under present circumstances,Real
233,Nawaz Imran brought to power through deal claims Zardari,Ways are being found to arrest me but they are unable to find any evidence he said,Real
234,I want to become popular again in Punjab after arrest Zardari,Pakistan Peoples Party PPP CoChairman Asif Ali Zardari has said he wants to become popular again in Punjab after his arrest He said authorities had to prove his involvement in fake accounts case if they want to arrest him He vowed to support Prime Minister Imran Khan in the emerging situation,Real
235,Asif Zardari offers olive branch to government,Zardari said his party had begrudgingly accepted Nawaz Sharifs government and accepted the PTI government,Real
236,Real problem is with me but my friends are being nabbed Zardari,Asif Ali Zardari has said that the rulers have neither broad thinking nor mandate He said that an attempt was made to snatch the Sindh government from the PPP The former president said that he did not seek the NRO from Musharraf,Real
237,Zardari should consult lawyers instead of politicians advises Fawad,Information Minister Fawad Chaudhry responded to former President Asif Ali Zardaris statement of uniting opposition parties against the government The minister is accompanying Prime Minister Imran Khan in Riyadh Saudi Arabia,Real
238,Zardari denies being beneficiary of NRO,Asif Ali Zardari has denied being a beneficiary of the National Reconciliation Ordinance Muttahida Qaumi Movement leaders benefitted from it he said The controversial ordinance had granted amnesty to politicians and bureaucrats accused in corruption and money laundering cases,Real
239,Ruckus in Sindh Assembly after GDA leader calls Zardari as Don,Opposition member Waseem Qureshi of the Muttahida Quami Movement criticised the government of Sindh He said the money allocated in the budget did not belong to the Sindh government but rather the poor and affected people of the province,Real
240,Nawaz Sharif seeks Zardaris help for giving tough time to govt,The visiting delegation emphasized the need to join hands in order to strengthen the opposition alliance The PMLN has also offered to field joint candidates during the upcoming byelections Nawaz Sharif seems active in political contacts after he was released from the Adiala Jail,Real
241,Zardari challenges SCs order to submit assets details,The impugned order even seeks details of assets belonging to the petitioners late wife Shaheed Mohtarma Benazir Bhutto This equates to aiding petitioner to conduct trial on the martyrs grave says the review petition filed by Zardari,Real
242,Zardaris interim bail approved in money laundering case,Asif Ali Zardari appeared before banking court and was accompanied by his counsel Farooq Naik The court granted the interim bail to the former president on Rs2 million surety for prearrest bail The FIA is investigating 32 people in relation to money laundering from fictitious accounts,Real
243,Asif Zardari submits surety bonds after bail from banking court,Former president Asif Ali Zardari was talking to reporters outside a local banking court in Karachi He had secured interim bail in a money laundering case a day earlier The former president furnished bail bonds of Rs2 million and signed documents,Real
244,SC summons 10year record of Zardari Musharrafs assets in NRO case,Chief Justice of Pakistan Justice Mian Saqib Nisar heard the case related to National Reconciliation Ordinance NRO The counsels of Zardari and Musharraf appeared before the top court The former military rulers counsel said Nothing has been hidden from the court,Real
245,Fake accounts case Zardari Talpur appear before FIA Zonal Office,The FIA on Saturday issued notices to the former president and Talpur for the fourth time The FIA has summoned them to appear before its investigation team in connection with the scandal that surfaced in June,Real
246,Asif Zardari has no association with Zardari Group claims Kaira,Pakistan Peoples Party leader Qamar Zaman Kaira claimed on Monday that former president Asif Ali Zardari has not association with the Zardar Group He said no questionnaire was handed over to the former president,Real
247,FIA raids Zardaris sugar mill in Badin,During the raid the FIA team recovered seven Kalashnikovs four semiautomatic rifles two digital video recorders 27 hard discs one virtual storage device and financial files and ledgers All seized weapons were handed over to local police for verification purpose,Real
248,Resolution of peoples problems among govts priorities Asif Zardari,Former president Asif Zardari has said that Nawabshah will be made an industrial hub He said that resolution of peoples basic problems is among priorities of the Sindh government,Real
249,Money laundering case IHC approves Zardaris petition for protective bail,PPP CoChairman Asif Ali Zardari has been given a twoweek protective bail in a money laundering case The bail was approved against Rs05 million surety Justice Miangul Aurangzeb approved his request during an inchamber hearing,Real
250,Arrest warrants of Zardari issued in money laundering case,A banking court in Karachi today issued nonbailable arrest warrants against Asif Ali Zardari and 15 other suspects in the fake bank accounts scam case,Real
251,Zardari Bilawal register at NA facilitation centre,The inaugural session of 15th National Assembly of Pakistan will be held on Monday at 10am at the Parliament house During the session newly elected members will take oath before electing speaker and deputy speaker The facilitation centre would remain open till 9pm Sunday,Real
252,Nawaz Zardari robbed money of Pakistan Imran Khan,Imran said that if voted to power his party will establish a corruption free society He said that no nation can progress without the supremacy of law and order in the country,Real
253,Asif Zardari looting people in name of democracy Imran Khan,PTI chairman Imran Khan said that the PPP is ruling the masses in the name of Bhutto is alive He said that Zardari does not know how much his amount is in foreign banks,Real
254,Pakistans expresident Asif Zardari named in moneylaundering case,Federal Investigation Agency FIA obtained remand of Hussain Lawai Chairman Central Depository Company CDC and a close aide of Asif Ali Zardari,Real
255,PMLN will get verdicts political benefit Asif Zardari,Pakistan Muslim League Nawaz PMLN will take political advantage and sympathies of people from Avenfield verdict against Nawaz Sharif and his children by the accountability court The former president said all the policies of the PMLNs last government failed miserably and Ishaq Dar always damaged the national economy,Real
256,NRO case CJ seeks foreign assets details from Musharraf Zardari,Chief Justice Mian Saqib Nisar also ordered former attorney general Malik Qayyum to provide details of his assets All respondents should declare their properties held abroad as well as foreign accounts and any offshore companies they own in affidavits submitted to the court,Real
257,Commando who didnt give security to BB feeling threat today Zardari,PPP cochairman Asif Ali Zardari said Mohtrama embraced martyrdom while following the front of democracy Bhutto is feeling a threat today he said,Real
258,ECP reveals assets details of former president Zardari,Election commission of Pakistan ECP has released assets details of Asif Ali Zardari Former President of Pakistan has possession of 349 acres of agricultural land with 7399 acres of farmland holding on lease which is his main source of income besides business,Real
259,Nawaz Zardari responsible for deteriorating water condition CJP,Chief Justice Mian Saqib Nisar said Nawaz Sharif and Asif Ali Zardari were responsible for deteriorating water condition because they did nothing while in power The authorities of the metropolitan and additional attorney general appeared before the court to attend the hearing,Real
260,I hadnt gone to Nawaz Sharif to defend Mushrrafs martial law Zardari,Nawaz Sharif blames Pakistans powerful generals and judges for ousting him from power Army generals imposed martial laws to throw out democraticallyelected prime ministers of Pakistan,Real
261,Asif Zardari has destroyed Sindh says Shehbaz Sharif,Chief Minister Shehbaz Sharif said that PPP cochairman Asif Zardari has destroyed Sindh He said that Imran Khan Niazi used to say him Showbaz and termed him a dangerous man,Real
262,Sindh in dire straits only Zardari prosperous Shahbaz Sharif,PMLN President Shehbaz Sharif accused PPP CoChairman Asif Ali Zardari of being prosperous despite Sindh being in dire straits He claimed that he would provide electricity to every village in the province if given a chance to serve the people of Sindh,Real
263,Mian Sahib damaged democracy says Asif Ali Zardari,Asif Ali Zardari has said that Mian Sahib damaged democracy He said that the Sharif brothers abolished democracy like Prince Saleem The former president said that they would forge an alliance if need be,Real
264,Whether Zardari was so naive that he got duped by me Nawaz Sharif,Nawaz Sharif said he had resented Asif Zardaris extreme statement about the establishment in 2015 and communicated his position the same day The PMLN Quaid said that the PPP leader should not try to rewrite history,Real
265,Nawaz broke my trust says Zardari,Former president and Pakistan Peoples Party cochairman Asif Ali Zardari said Nawaz Sharif took advantage of his sincerity and broken his trust He said the exPM made a deal with former president General Pervez Musharraf and sent him abroad,Real
266,PPP saved Nawaz several times but he stabbed us in the back Zardari,Pakistan Peoples Party Cochairman Asif Ali Zardari says his party tried to save Nawaz Sharif time and again,Real
267,Asif Zardari is biggest disease plaguing Sindh says Imran Khan,Former prime minister Nawaz Sharif is gone now says Imran Imran Now its your turn he says of former prime minister Zardari,Real
268,Wont allow PMLN to nominate Punjab CM declares Asif Zardari,Former president Asif Ali Zardari said he would never again join hands with the Pakistan Muslim LeagueNawaz He also said that he would oust Nawaz Sharif from politics as well,Real
269,Seven years on Nawaz regrets moving SC over Memogate,Nawaz Sharif expresses regrets over taking the Memogate controversy to the Supreme Court The controversy had triggered a confrontation between the then government and the military leadership,Real
270,It was PPP that saved democracy in 2014 claims Khurshid Shah,Khurshid Shah condemned the statement of Prime Minister Shahid Khaqan Abbasi about Senate Chairman Sadiq Sanjrani He said that the government and the opposition will hold talks for the caretaker setup,Real
271,Nawaz Shahbaz & Zardari are most corrupt people says Imran Khan,PTI chairman Imran Khan said that former prime minister Nawaz Sharif Chief Minister Shahbaz Sharif and former president Asif Zardari are the most corrupt people He said that the people do not get justice when the rulers are corrupt,Real
272,Imran Zardari two sides of the same coin Nawaz,Nawaz Sharif said that Imran Khan and Asif Zardari were not sincere with public as PTI senators voted for PPP,Real
273,Imran dares PMLN Im a good catcher hurl a shoe and Ill throw it back,PTI chairman Imran Khan says Nawaz Sharif and Asif Zardari steal and take money abroad He says a small community is getting rich while the people are getting under debt Khan says it is right of seminary students to become doctors and engineers,Real
274,Newlyelected Senate chairman deputy chairman meet Bilawal Bhutto Zardari,The Pakistan Peoples Party PPP Cochairman Asif Ali Zardari and the Pakistan TehreekeInsaf PTI Chairman Imran Khan has entered into an alliance,Real
275,Zias opening batsman defeated says Bilawal Bhutto Zardari,Senate Chairman Sadiq Sanjrani held meeting with Chairman Bilawal Bhutto Zardari He dubbed the win of opposition alliance a win of Balochistan and federalism,Real
276,Asif Zardari sacks his spokesman Farhatullah Babar,Farhatullah Babar has been spokesman for Asif Zardari since long He has been sacked for making antiPPP speech in the Senate New spokesman will be announced in a few days,Real
277,Asif Zardari turns down Nawazs proposal for Senate chairman,PPP cochairman Asif Zardari has rejected the proposal of Nawaz Sharif for the Senate chairman He said that he has old friendship and acquaintance with Maulana Fazlur Rahman who has sought time for consultation,Real
278,Zardari to meet Fazl as race for Senate chairmanship in full swing,Former president and Pakistan Peoples Party PPP cochairman Asif Ali Zardari will meet Jamiat UlemaeIslamFazl chief Maulana Fazlur Rehman after two days,Real
279,Revolt being staged through bureaucracy in Punjab Asif Zardari,The PPP cochairman said that he had not been expelled from the Senate He said that they get their work done by the nephews of their MNAs,Real
280,Nawaz Sharif came into power through fake mandate Asif Zardari,Zardari said that the PMLN bribes Rs 3000 to each worker to fill up meetings of Nawaz Sharif The former president said that he had given funds to all MNAs but the government did not give a single rupee to any PPP member,Real
281,Nawaz cut roots of country to strengthen his kingship Asif Zardari,Asif Zardari said that the country is strong but there is need to run it carefully,Real
282,Zardari telling a lie about CPEC says CM Shahbaz Sharif,The CM said that the Surrey Palace is owned by Asif Zardari who took the looted money abroad I will get back each penny if the people voted for him he said,Real
283,Zainab murder case exposes Punjab govts performance Asif Zardari,The Punjab chief minister said the PPP will not support any undemocratic act,Real
284,Pakistan faces threat from Sheikh Mujeeb of Jati Umrah Asif Zardari,PPP cochairman Asif Ali Zardari has said that Nawaz Sharif is trying to become Sheikh Mujeeb who broke the country He said that he could oust the Sharifs and it would not take time,Real
285,Imran Khan Asif Zardari will be on same stage today Dr Tahirul Qadri,Imran Khan and Asif Ali Zardari will take their stands on the same container There will be only one container which will be shared by all leaders Qadri told reporters on Tuesday,Real
286,We will take mission starting from today to logical end Asif Zardari,Mian Sahib has diverted from the Pakistan Ideology for his survival says PAT chairman Dr Tahirul Qadri Imran Khan is on the other side of the ring and it will take time for him to reach the centre he says,Real
287,Zardari telephones Tahirul Qadri invites him to Bilawal House,Asif Ali Zardari has invited Pakistan Awami Tehreek chief Dr Tahirul Qadri to Bilawal House for dinner The PAT chief accepted the PPP cochairmans invitation and will visit with a delegation,Real
288,Asif Zardari says present government is incompetent,The former president said that no one could terrify them and make them flee Asif Zardari said that the countrys foreign minister speaks English in Punjabi PPP chairman Bilawal Bhutto said there is democracy in the country but it is weak,Real
289,Zardari asks Nawaz not to level allegations reveal secret of his mandate,We want thatï¿½Nawaz Sharifï¿½should reveal the secret The PPP has never taken the support to come to the power he maintained,Real
290,Nawaz doesnt know what is happening despite having govt Opp Zardari,ï¿½he said that Mian Sahib has not disclosed his secrets during the last four years and no one knows what he is doing now,Real
291,Zardari challenges Gen r Musharraf to return to Pakistan,he said that General r Pervez Musharraf can dance with his wife in Dubai adding that he should return to Pakistan if he has the courage,Real
292,Salman Shahbaz has a major role in appointment of bureaucrats,Zubair Mahmood the personal secretary of Punjab chief ministers wife Tehmina Durrani has alleged in his book that Salman Shahbaz has a major role in appointment of bureaucrats to important posts Talha Barki he says controls several departments of Punjab government,Real
293,PMLN being pushed to the wall says Shahbaz,Shahbaz warned that he would not be able to control the masses if the Election Commission of Pakistan ECP failed to control prepoll,Real
294,Imran Niazi is absconder who runs away after leveling allegations Shahbaz,Chief Minister Shahbaz Sharif has said that the people will decide that who looted the country He said that no doubt Southern Punjab was ignored by the past governments The PMLN will defeat political opponents in the next elections he claimed,Real
295,Shahbaz his son made Multan Metro to make money Imran Khan,ï¿½PTI chairman Imran Khan has said that Chief Minister Shahbaz Sharif and his son Hamza Shahbaz made the Multan Metro to make money Addressing a gathering during the membership campaign at Double Phattak on Thursday he said that Shahbaz Sharifs brother had been made why was he ousted and now it was turn of Shahbaz Sharif He said that Multan needs hospitals schools universities and sewerage system,Real
296,Shahbaz Sharif should answer to Metro and Ashiyana scams Bilawal,PPP chairman Bilawal Bhutto has termed Shahbaz Sharif as QataleAala He said that he should reply to Metro and Ashiyana scams,Real
297,PMLN workers harass woman after Shahbaz Sharifs meeting,The woman a resident of Kasur is a member of the PMLN womens wing The incident occurred when men entered the women enclosure after Punjab Chief Minister Shehbaz Sharifs speech,Real
298,Ahad Cheema is a parrot having soul of Shahbaz Sharif Imran Khan,PTI chairman Imran Khan said Ahad Cheema was such a genius that he got contracts for LDA Metro bus Ashiyana housing scheme Khan said that even in Sindh AD Khwaja is a bone of contention for status quo because he speaks against corruption,Real
299,Shahbaz Sharif to be made PMLN president sources,The party executive committee will finally approve the decision Shahbaz Sharif will assume the office as acting party president within three days He will summon a meeting of the executive committee for his permanent election within 45 days,Real
300,Shahbaz Sharif says Imran Khan is IG of liars,The Punjab CM said that the government had ended loadshedding The PTI chairman said that Imran Khan and Asif Zardari would be defeated in the coming general elections,Real
301,Fayyaz Chohan says there will be no NRO,The minister expressed the resolve to remove deprivations of South Punjab He said the cases against Asif Zardari are continuing for last five years Fayyaz Chohan said that those surviving on the tax money of people will not go scot free,Real
302,Rauf Klasra talked about PTI Fayyaz Ul Hassan Chohan Hurls Abuse,Punjab Minister for Culture and Information FayazulHasan Chohan lost his cool during a television appearance and hurled abuses at the host of the show and channel staff after old clips of him were played Senior Pakistan TehreekeInsaf leader Aleem Khan condemned Chohans behaviour,Real
303,PUNJAB GOVT TO RESTART CULTURAL ACTIVITIES LIKE HORSE AND CATTLE SHOW BUZDAR,Punjab Chief Minister Sardar Usman Buzdar announced to promote cultural activities throughout the province As cultural committee members led by renowned socialite Yousaf Salahuddin called on the chief minister,Real
304,AGRICULTURE COOPERATION TO BE EXPANDED UNDER CPEC KHUSRO BAKHTYAR,Minister for National Food Security and Research Sahibzada Muhammad Mehboob Sultan said that the government is committed to promoting agriculture sector,Real
305,GOVT COMMITTED TO PROMOTE AGRICULTURE SECTOR ASAD UMAR ï¿½,Asad Umer said that the government is taking concrete measure to facilitate farmers to encourage farming The minister said that power and fertilizer is being provided to farmers at subsidized rates,Real
306,SINDHI CAP AJRAK SYMBOLS OF DIVERSE CULTURE OF PROVINCE MINISTER ï¿½ï¿½,Selfless love and affection of the people of Sindh is the greatest heritage of the province Fawad Chaud,Real
307,UNESCO LISTS KALASHA CULTURE AS INTANGIBLE CULTURAL HERITAGE,The decision was taken at the 13th session of the Intergovernmental Committee for the Safeguarding of the Intangible Cultural Heritage which is underway at in Mauritius Suri Jagek literally translated as observing the sun is the traditional Kalasha meteorological and astronomical knowledge system,Real
308,TAKING ADVANTAGE FROM CHINESE EXPERTISE IN AGRICULTURE  PM IMRAN,PM Imran Khan has decided to establish Allama Iqbal University in Sialkot and will visit the city tomorrow PM Imran said that restoration of agriculture was the part of Pakistan TehreekeInsaf manifesto,Real
309,PAKISTAN CAN GREATLY BENEFIT FROM CHINESE EXPERTISE IN AGRICULTURE SECTOR PM IMRAN,The PM was given a detailed briefing on the existing situation wheat rice and sugarcane crop He was told that the research and innovation was totally ignored in the past resulting in overall deterioration of the sector,Real
310,GOVT TO PROVIDE FUNDS FOR PROMOTING PHARMACEUTICAL RESEARCH CULTURE AZAM SWATI,The conference was organised by QuaidiAzam University QAU in collaboration with Royal Society of Chemistry RSC COMSTECH Islamabad Abdul Wali Khan University Mardan University of Punjab Lahore and Women University Swabi,Real
311,AGRICULTURE DEVELOPMENT UNDER CPEC TO REDUCE TRADE DEFICIT WITH CHINA SBP,Pakistan can enhance its exports through various CPEC initiatives and by tapping into the growing import dependence of China The CPEC long term plan envisages significant development of the agriculture sector of Pakistan China has so far invested $34 billion in agriculture sector abroad,Real
312,SINDH MINISTER FOR CULTURE ANNOUNCES INCENTIVES FOR MAKING FILMS IN SINDHI,Sindhi films constitute a great source of entertainment to people at large he said,Real
313,FAWAD CALLS FOR PRESERVING DYING ARTS TO PROMOTE INDIGENOUS CULTURE,Pakistan has a distinct and unique culture and the government will facilitate and patronise its promotion The minister also asked Lok Virsa to devise a programme to hold competition among the local artists,Real
